match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,labellabel,avg_performane_of_main_home_players,avg_performane_of_all_home_players,avg_performane_of_main_away_players,avg_performane_of_all_away_players
836092,9791,8525,3,0,Win,69.3926330300524,67.82647496280194,66.63179824561404,64.99324162679427
836093,8464,9839,1,0,Win,70.54714743589743,68.2627033836086,69.57651222651222,66.27053586053586
836094,10228,8640,1,3,Defeat,73.33690631808278,69.70566448801742,75.63437160207776,73.41286293099024
836095,8526,10218,3,0,Win,66.96292473511144,64.83898949225616,66.85425819450587,64.88541317643485
836096,8277,10217,3,1,Win,70.37767861409797,67.54707658384615,68.9584348864994,66.40302636745761
836097,10235,9908,3,1,Win,74.85892063492062,71.83428040558475,74.2934039656653,70.61550829608164
836098,9761,10229,1,1,Draw,69.87183982683983,67.66268759151534,73.55186602870813,70.93768321170235
836099,8674,8593,2,2,Draw,72.31987578013384,69.5612757525954,77.4606734006734,75.07729021819931
836297,9761,9803,1,2,Defeat,69.86056765814831,67.81438206029192,70.29520147713696,67.39879181915762
836300,8526,9791,1,1,Draw,66.99574207257274,65.1549165648396,69.17485525227461,67.76908114888637
836306,8640,10235,10,0,Win,76.52951349721964,74.19795434021957,73.28504851215848,70.97669815265722
836309,8277,9908,1,4,Defeat,73.08126984126984,69.83255596255596,73.48617785843922,69.49156331652169
836313,8611,10217,3,2,Win,76.39814393520655,72.4345235185111,69.26676821983273,67.25134637546661
836320,10218,8593,2,2,Draw,68.73573967598735,66.21721605369227,78.78611111111113,75.49844877344877
836321,10229,8525,3,0,Win,74.49509835194047,72.34376568142119,66.12555555555556,64.52213804713804
836326,9791,9761,4,1,Win,68.43493589743589,67.23894103810112,69.45675813433877,67.76719591310577
836328,8525,8611,1,3,Defeat,66.18841269841269,64.69410774410775,76.39814393520655,73.15593935757398
836330,8674,10217,3,1,Win,72.88530698287221,70.07130625788282,68.9584348864994,67.1111948603151
836332,10235,9839,3,0,Win,73.48404958305161,71.3445858970967,69.94881991881991,66.60703935703935
836335,8277,8640,0,2,Defeat,73.08126984126984,69.67346505346505,76.52951349721964,74.19795434021957
836337,8593,10228,3,1,Win,78.78611111111113,75.15960579824217,72.02944444444444,69.28383838383837
836339,8526,10229,2,1,Win,67.63921546192847,65.51522553691326,74.49509835194047,72.34376568142119
836341,9908,10218,2,0,Win,74.14310093536228,70.22349804845642,68.73573967598735,66.11987904726435
